id,name,lat,lon,nameplate,generation,fuel,
5135,Tenaska Virginia Generating Station,37.8667,-78.3813,946,3579646,GAS,
2688,River Rouge,42.2733,-83.1131,944,3503774,COAL,
470,Delta Energy Center,38.0167,-121.8439,944,3995756,GAS,
2376,Northfield Mountain,42.6108,-72.5562,940,0,HYDRO,
4923,Tenaska Frontier Generation Station,30.5924,-95.9178,940,3436321,GAS,
4924,Tenaska Gateway Generating Station,32.0164,-94.6189,940,3098788,GAS,
177,Tenaska Lindsay Hill Generating Station,32.6514,-86.7386,939,910925,GAS,
5069,Doswell Energy Center,37.8181,-77.4478,939,2599937,GAS,
2301,Waterford 1 & 2,29.9994,-90.4758,932,972101,GAS,
4715,Decker Creek,30.3036,-97.6128,932,1188481,GAS,
4790,J T Deely,29.3072,-98.3228,932,5557492,COAL,
3698,Arthur Kill Generating Station,40.5915,-74.2027,932,924404,GAS,
2422,Dickerson,39.2086,-77.4644,930,2704810,COAL,
4797,Lake Hubbard,32.8364,-96.5464,928,345775,GAS,
176,Tenaska Central Alabama Generating Stn,32.6503,-86.7386,927,1638043,GAS,
4029,Davis Besse,41.5967,-83.0861,925,5185092,NUCLEAR,
230,Robert E Ritchie,34.4629,-90.5987,923,0,OIL,
2243,Coughlin Power Station,30.8442,-92.2606,923,740383,GAS,
4007,AEP Waterford Facility,39.5314,-81.7172,922,1220979,GAS,
1396,Dahlberg,34.0386,-83.3972,919,284271,GAS,
4700,Channelview Cogeneration Plant,29.8356,-95.1242,918,5565397,GAS,
4669,Baytown Energy Center LLC,29.7731,-94.9019,915,3995442,GAS,
4832,Newman,31.9858,-106.4322,913,2145656,GAS,
3933,Robert Moses Power Dam,44.951,-74.8937,912,6611236,HYDRO,
2115,Gordon Evans Energy Center,37.7903,-97.5217,904,573390,GAS,
2279,Ouachita,32.7056,-92.0697,904,1129344,GAS,
3127,TVA Southaven Combined Cycle,34.9939,-90.039,904,4130382,GAS,
4144,Green Country Energy LLC,35.9833,-95.9346,904,2485850,GAS,
171,Morgan Energy Center,34.6397,-87.0639,900,3852216,GAS,
3464,Granite Ridge,42.9043,-71.4251,900,3241127,GAS,
3099,Choctaw County,33.2881,-89.4201,899,382141,GAS,
4873,Rio Nogales Power Project,29.5932,-97.9724,898,2127241,GAS,
4377,Hunterstown,39.8725,-77.1672,898,2266895,GAS,
1312,Midulla Generating Station,27.6417,-81.9625,897,2819972,GAS,
2299,Taft Cogeneration Facility,29.9861,-90.4575,894,5357852,GAS,
3712,Bethlehem Energy Center,42.5905,-73.7636,893,4227360,GAS,
5095,Ladysmith,38.0722,-77.5133,893,884319,GAS,
4839,O W Sommers,29.3078,-98.3244,892,761004,GAS,
3094,Batesville Generation Facility,34.3345,-89.9272,891,2348530,GAS,
304,AES Huntington Beach LLC,33.6436,-117.9788,888,931672,GAS,
3743,Charles Poletti,40.7903,-73.9111,883,111892,GAS,
3843,James A Fitzpatrick,43.5185,-76.4061,882,6361483,NUCLEAR,
4961,Wilkes,32.8486,-94.5469,882,1542313,GAS,
4766,Greens Bayou,29.8208,-95.2194,878,184858,GAS,
4881,Sam Bertron,29.7268,-95.06,875,154595,GAS,
